date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:27:04	248641/248641	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20May%202022%2005:32:57%20GMT	https://bluebyheart.com/rxce-colour-prediction/	C:/My%20Web%20Sites/dipu/bluebyheart.com/rxce-colour-prediction/index.html	(from )
16:27:04	123/123	---M-Z	200	added ('OK')	text/plain	date:Thu,%2012%20May%202022%2010:57:07%20GMT	https://bluebyheart.com/robots.txt		(from )
16:27:05	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2012%20May%202022%2010:57:08%20GMT	https://bluebyheart.com/rxce-colour-prediction/t.src	C:/My%20Web%20Sites/dipu/bluebyheart.com/rxce-colour-prediction/t.src	(from https://bluebyheart.com/rxce-colour-prediction/)
16:27:05	23836/23836	---M--	200	added ('OK')	image/png	date:Fri,%2026%20Nov%202021%2018:40:18%20GMT	https://bluebyheart.com/wp-content/uploads/2021/03/Rxce-Colour-Prediction-Tricks.png	C:/My%20Web%20Sites/dipu/bluebyheart.com/wp-content/uploads/2021/03/Rxce-Colour-Prediction-Tricks.png	(from https://bluebyheart.com/rxce-colour-prediction/)
16:27:06	662/662	---M--	200	added ('OK')	image/png	date:Sat,%2007%20May%202022%2018:12:11%20GMT	https://bluebyheart.com/wp-content/plugins/wp-rocket/assets/img/youtube.png	C:/My%20Web%20Sites/dipu/bluebyheart.com/wp-content/plugins/wp-rocket/assets/img/youtube.png	(from https://bluebyheart.com/rxce-colour-prediction/)
16:27:06	104303/104303	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20May%202022%2010:55:17%20GMT	https://bluebyheart.com/rxce-colour-prediction/amp/	C:/My%20Web%20Sites/dipu/bluebyheart.com/rxce-colour-prediction/amp/index.html	(from https://bluebyheart.com/rxce-colour-prediction/)
16:27:06	89521/89521	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2010%20Mar%202021%2020:37:24%20GMT	https://bluebyheart.com/wp-includes/js/jquery/jquery.min.js?ver=3.6.0	C:/My%20Web%20Sites/dipu/bluebyheart.com/wp-includes/js/jquery/jquery.minaf6c.js	(from https://bluebyheart.com/rxce-colour-prediction/)
16:27:06	11224/11224	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2018%20Nov%202020%2014:36:06%20GMT	https://bluebyheart.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	C:/My%20Web%20Sites/dipu/bluebyheart.com/wp-includes/js/jquery/jquery-migrate.mind617.js	(from https://bluebyheart.com/rxce-colour-prediction/)
16:27:06	1175/1175	---M--	200	added ('OK')	image/png	date:Fri,%2026%20Nov%202021%2018:40:13%20GMT	https://bluebyheart.com/wp-content/uploads/2020/11/cropped-fav-32x32.png	C:/My%20Web%20Sites/dipu/bluebyheart.com/wp-content/uploads/2020/11/cropped-fav-32x32.png	(from https://bluebyheart.com/rxce-colour-prediction/)
16:27:06	7952/7952	---M-Z	200	added ('OK')	application/rss+xml	date:Sat,%2012%20Mar%202022%2014:15:35%20GMT	https://bluebyheart.com/rxce-colour-prediction/feed/	C:/My%20Web%20Sites/dipu/bluebyheart.com/rxce-colour-prediction/feed/index.html	(from https://bluebyheart.com/rxce-colour-prediction/)
16:27:07	10844/10844	---M--	200	added ('OK')	image/png	date:Fri,%2026%20Nov%202021%2018:40:13%20GMT	https://bluebyheart.com/wp-content/uploads/2020/11/cropped-fav-192x192.png	C:/My%20Web%20Sites/dipu/bluebyheart.com/wp-content/uploads/2020/11/cropped-fav-192x192.png	(from https://bluebyheart.com/rxce-colour-prediction/)
16:27:07	9951/9951	---M--	200	added ('OK')	image/png	date:Fri,%2026%20Nov%202021%2018:40:13%20GMT	https://bluebyheart.com/wp-content/uploads/2020/11/cropped-fav-180x180.png	C:/My%20Web%20Sites/dipu/bluebyheart.com/wp-content/uploads/2020/11/cropped-fav-180x180.png	(from https://bluebyheart.com/rxce-colour-prediction/)
16:27:09	176041/176041	---MC-	200	added ('OK')	text/javascript	date:Thu,%2012%20May%202022%2010:57:11%20GMT	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js?client=ca-pub-6474901729894843	C:/My%20Web%20Sites/dipu/pagead2.googlesyndication.com/pagead/js/fcd16.txt	(from https://bluebyheart.com/rxce-colour-prediction/)
16:27:09	20885/20885	---M--	200	added ('OK')	image/png	date:Fri,%2026%20Nov%202021%2018:40:13%20GMT	https://bluebyheart.com/wp-content/uploads/2020/11/cropped-cropped-bluebyhe.png	C:/My%20Web%20Sites/dipu/bluebyheart.com/wp-content/uploads/2020/11/cropped-cropped-bluebyhe.png	(from https://bluebyheart.com/rxce-colour-prediction/)
16:27:09	12662/12662	---M--	200	added ('OK')	image/jpeg	date:Fri,%2026%20Nov%202021%2018:40:13%20GMT	https://bluebyheart.com/wp-content/uploads/2021/03/Rxce.in-App-Download.jpg	C:/My%20Web%20Sites/dipu/bluebyheart.com/wp-content/uploads/2021/03/Rxce.in-App-Download.jpg	(from https://bluebyheart.com/rxce-colour-prediction/)
16:27:09	43406/43406	---M--	200	added ('OK')	image/jpeg	date:Fri,%2026%20Nov%202021%2018:40:19%20GMT	https://bluebyheart.com/wp-content/uploads/2021/03/Rxce.in-Review.jpg	C:/My%20Web%20Sites/dipu/bluebyheart.com/wp-content/uploads/2021/03/Rxce.in-Review.jpg	(from https://bluebyheart.com/rxce-colour-prediction/)
16:27:10	121628/121628	---M--	200	added ('OK')	image/jpeg	date:Thu,%2007%20Apr%202022%2004:39:22%20GMT	https://bluebyheart.com/wp-content/uploads/2022/04/Angel-Broking-Referral-Code.jpg	C:/My%20Web%20Sites/dipu/bluebyheart.com/wp-content/uploads/2022/04/Angel-Broking-Referral-Code.jpg	(from https://bluebyheart.com/rxce-colour-prediction/)
16:27:10	3479/3479	---M--	200	added ('OK')	image/png	date:Fri,%2026%20Nov%202021%2018:40:13%20GMT	https://bluebyheart.com/wp-content/uploads/2020/11/cropped-cropped-bluebyhe-300x56.png	C:/My%20Web%20Sites/dipu/bluebyheart.com/wp-content/uploads/2020/11/cropped-cropped-bluebyhe-300x56.png	(from https://bluebyheart.com/rxce-colour-prediction/)
16:27:10	8518/8518	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2026%20Nov%202021%2018:44:24%20GMT	https://bluebyheart.com/wp-content/plugins/gp-premium/menu-plus/functions/js/sticky.min.js?ver=2.1.1	C:/My%20Web%20Sites/dipu/bluebyheart.com/wp-content/plugins/gp-premium/menu-plus/functions/js/sticky.mine1fc.js	(from https://bluebyheart.com/rxce-colour-prediction/)
